,zeros,bbnums,fix_bill,billboard#_fixated_count,billboard,billboard#,billboard#_duration,position_index,billboard_named_position,billboard_image_at_position_text
0,0.0,1.0,1.0,5.0,1.0,1.0,3.24,1,billboard_image_1,health_7_smoking_neu
1,0.0,2.0,2.0,1.0,2.0,2.0,0.7699999999999996,2,billboard_image_2,health_6_drugged_driving_emo
2,0.0,3.0,3.0,2.0,3.0,3.0,1.4500000000000028,3,billboard_image_3,health_14_healthy_diet_emo
3,0.0,4.0,4.0,3.0,4.0,4.0,1.480000000000004,4,billboard_image_4,health_12_marijuana_emo
4,0.0,5.0,5.0,2.0,5.0,5.0,2.780000000000001,5,billboard_image_5,commercial_5_furniture_emo
5,0.0,6.0,0.0,0.0,0.0,6.0,0.0,6,billboard_image_6,health_9_wash_hands_emo
6,0.0,7.0,7.0,6.0,7.0,7.0,2.789999999999992,7,billboard_image_7,health_5_text_driving_emo
7,0.0,8.0,8.0,2.0,8.0,8.0,2.319999999999993,8,billboard_image_8,commercial_2_burger_emo
8,0.0,9.0,9.0,2.0,9.0,9.0,1.4200000000000017,9,billboard_image_9,health_13_tech_addiction_neu
9,0.0,10.0,10.0,4.0,10.0,10.0,1.7499999999999716,10,billboard_image_10,health_10_vaccination_neu
10,0.0,11.0,11.0,1.0,11.0,11.0,0.3400000000000034,11,billboard_image_11,health_8_sun_protection_emo
11,0.0,12.0,12.0,2.0,12.0,12.0,1.7700000000000102,12,billboard_image_12,health_11_vaping_neu
12,0.0,13.0,13.0,3.0,13.0,13.0,3.0200000000000387,13,billboard_image_13,commercial_6_hotel_neu
13,0.0,14.0,14.0,1.0,14.0,14.0,0.28999999999999204,14,billboard_image_14,commercial_3_coffee_emo
14,0.0,15.0,15.0,3.0,15.0,15.0,1.75,15,billboard_image_15,health_1_binge_drinking_neu
15,0.0,16.0,16.0,2.0,16.0,16.0,1.2199999999999989,16,billboard_image_16,health_4_HIV_neu
16,0.0,17.0,17.0,2.0,17.0,17.0,1.7099999999999795,17,billboard_image_17,health_2_buckle_up_emo
17,0.0,18.0,0.0,0.0,0.0,18.0,0.0,18,billboard_image_18,health_3_diabetes_neu
18,0.0,19.0,19.0,1.0,19.0,19.0,0.5999999999999943,19,billboard_image_19,commercial_4_education_donation_neu
19,0.0,20.0,20.0,1.0,20.0,20.0,0.39999999999997726,20,billboard_image_20,commercial_1_brunch_neu
