position,billboard_name
1,resources/billboards/buckle_up_neu.bmp
2,resources/billboards/drugged_driving_neu.bmp
3,resources/billboards/underage_drinking_neu.bmp
4,resources/billboards/pizza_emo.bmp
5,resources/billboards/diabetes_emo.bmp
6,resources/billboards/sunscreen_neu.bmp
7,resources/billboards/binge_drinking_emo.bmp
8,resources/billboards/furniture_emo.bmp
9,resources/billboards/burger_neu.bmp
10,resources/billboards/hotel_emo.bmp
11,resources/billboards/smoking_neu.bmp
12,resources/billboards/smartphone_neu.bmp
13,resources/billboards/brunch_neu.bmp
14,resources/billboards/hiv_emo.bmp
15,resources/billboards/salad_emo.bmp
16,resources/billboards/education_donation_neu.bmp
17,resources/billboards/vaccination_emo.bmp
18,resources/billboards/coffee_neu.bmp
19,resources/billboards/lawyer_emo.bmp
20,resources/billboards/distracted_driving_emo.bmp
