position,billboard_name
1,resources/billboards/hiv_emo.bmp
2,resources/billboards/furniture_neu.bmp
3,resources/billboards/smoking_emo.bmp
4,resources/billboards/burger_neu.bmp
5,resources/billboards/buckle_up_neu.bmp
6,resources/billboards/pizza_emo.bmp
7,resources/billboards/salad_neu.bmp
8,resources/billboards/education_donation_emo.bmp
9,resources/billboards/diabetes_neu.bmp
10,resources/billboards/coffee_emo.bmp
11,resources/billboards/smartphone_emo.bmp
12,resources/billboards/sunscreen_neu.bmp
13,resources/billboards/hotel_neu.bmp
14,resources/billboards/underage_drinking_emo.bmp
15,resources/billboards/drugged_driving_neu.bmp
16,resources/billboards/binge_drinking_emo.bmp
17,resources/billboards/lawyer_neu.bmp
18,resources/billboards/vaccination_neu.bmp
19,resources/billboards/brunch_emo.bmp
20,resources/billboards/distracted_driving_emo.bmp
