position,billboard_name
1,resources/billboards/brunch_emo.bmp
2,resources/billboards/coffee_emo.bmp
3,resources/billboards/drugged_driving_neu.bmp
4,resources/billboards/salad_emo.bmp
5,resources/billboards/underage_drinking_emo.bmp
6,resources/billboards/buckle_up_neu.bmp
7,resources/billboards/sunscreen_neu.bmp
8,resources/billboards/hiv_emo.bmp
9,resources/billboards/vaccination_emo.bmp
10,resources/billboards/lawyer_neu.bmp
11,resources/billboards/furniture_neu.bmp
12,resources/billboards/diabetes_neu.bmp
13,resources/billboards/hotel_emo.bmp
14,resources/billboards/distracted_driving_neu.bmp
15,resources/billboards/smoking_emo.bmp
16,resources/billboards/education_donation_emo.bmp
17,resources/billboards/smartphone_neu.bmp
18,resources/billboards/pizza_neu.bmp
19,resources/billboards/burger_neu.bmp
20,resources/billboards/binge_drinking_emo.bmp
