,position_index,billboard_image_at_position_text,billboard_image_at_position_text_emotion,fix_bill,count,recall
0,1,marijuana,marijuana_neu,1,2,1
1,2,sun_protection,sun_protection_emo,2,2,0
2,3,binge_drinking,binge_drinking_emo,3,3,1
3,4,vaccination,vaccination_neu,4,2,1
4,5,healthy_diet,healthy_diet_emo,5,1,0
5,6,tech_addiction,tech_addiction_emo,6,3,0
6,7,diabetes,diabetes_neu,7,1,1
7,8,hotel,hotel_emo,8,2,0
8,9,buckle_up,buckle_up_neu,9,3,1
9,10,HIV,HIV_emo,10,2,0
10,11,wash_hands,wash_hands_neu,11,1,0
11,12,furniture,furniture_emo,12,2,0
12,13,smoking,smoking_neu,13,2,0
13,14,text_driving,text_driving_neu,14,1,0
14,15,drugged_driving,drugged_driving_emo,15,1,0
15,16,brunch,brunch_neu,16,2,0
16,17,coffee,coffee_emo,17,2,1
17,18,vaping,vaping_neu,18,1,1
18,19,education_donation,education_donation_neu,19,2,0
19,20,burger,burger_emo,20,3,0
