,position_index,billboard_image_at_position_text,billboard_image_at_position_text_emotion,fix_bill,billboard#_fixated_count,billboard#_duration,recall,recognition
0,1,binge_drinking,binge_drinking_emo,0.0,0.0,0.0,0,1
1,2,smoking,smoking_emo,2.0,1.0,0.7300000000000004,0,1
2,3,healthy_diet,healthy_diet_neu,0.0,0.0,0.0,0,0
3,4,diabetes,diabetes_emo,0.0,0.0,0.0,0,1
4,5,drugged_driving,drugged_driving_neu,0.0,0.0,0.0,0,0
5,6,HIV,HIV_emo,6.0,1.0,3.0999999999999943,0,1
6,7,text_driving,text_driving_neu,7.0,2.0,2.700000000000003,0,0
7,8,marijuana,marijuana_neu,8.0,2.0,2.549999999999983,0,1
8,9,vaccination,vaccination_emo,9.0,1.0,0.7000000000000028,1,1
9,10,vaping,vaping_emo,10.0,3.0,3.0999999999999943,1,1
10,11,buckle_up,buckle_up_neu,11.0,2.0,1.4499999999999886,1,1
11,12,coffee,coffee_emo,12.0,1.0,1.2900000000000205,0,1
12,13,furniture,furniture_neu,13.0,2.0,3.9399999999999977,0,0
13,14,education_donation,education_donation_emo,14.0,2.0,2.390000000000015,0,1
14,15,tech_addiction,tech_addiction_neu,0.0,0.0,0.0,0,0
15,16,wash_hands,wash_hands_emo,0.0,0.0,0.0,0,0
16,17,hotel,hotel_neu,17.0,2.0,2.299999999999983,0,0
17,18,brunch,brunch_neu,18.0,1.0,0.8899999999999864,0,0
18,19,burger,burger_emo,19.0,1.0,0.9000000000000057,1,1
19,20,sun_protection,sun_protection_neu,20.0,1.0,2.1999999999999886,0,1
