,position_index,billboard_image_at_position_text,billboard_image_at_position_text_emotion,fix_bill,billboard#_fixated_count,billboard#_duration,recall,recognition
0,1,coffee,coffee_neu,1.0,1.0,3.3100000000000005,1,1
1,2,healthy_diet,healthy_diet_emo,2.0,1.0,2.6700000000000017,0,1
2,3,education_donation,education_donation_neu,3.0,2.0,1.000000000000007,0,0
3,4,burger,burger_neu,4.0,5.0,2.6000000000000014,0,0
4,5,marijuana,marijuana_neu,5.0,1.0,0.3900000000000005,0,0
5,6,hotel,hotel_emo,6.0,2.0,1.1899999999999975,0,0
6,7,buckle_up,buckle_up_emo,7.0,2.0,1.4300000000000068,0,1
7,8,vaping,vaping_emo,8.0,1.0,1.5699999999999932,0,1
8,9,diabetes,diabetes_emo,0.0,0.0,0.0,0,0
9,10,vaccination,vaccination_emo,10.0,2.0,2.0100000000000198,0,0
10,11,furniture,furniture_neu,11.0,1.0,0.3300000000000125,0,0
11,12,brunch,brunch_emo,12.0,1.0,1.6699999999999875,0,0
12,13,sun_protection,sun_protection_neu,13.0,1.0,0.4899999999999807,0,0
13,14,wash_hands,wash_hands_neu,0.0,0.0,0.0,0,0
14,15,tech_addiction,tech_addiction_neu,15.0,5.0,2.7600000000000198,1,1
15,16,drugged_driving,drugged_driving_emo,16.0,3.0,2.799999999999983,0,1
16,17,text_driving,text_driving_neu,17.0,1.0,0.2800000000000011,0,0
17,18,binge_drinking,binge_drinking_emo,18.0,2.0,1.9799999999999895,1,1
18,19,smoking,smoking_emo,19.0,4.0,1.9900000000000373,1,1
19,20,HIV,HIV_neu,0.0,0.0,0.0,0,0
