,position_index,billboard_image_at_position_text,billboard_image_at_position_text_emotion,fix_bill,billboard#_fixated_count,billboard#_duration,recall,recognition
0,1,HIV,HIV_neu,1.0,1.0,1.58,0,0
1,2,drugged_driving,drugged_driving_neu,0.0,0.0,0.0,0,0
2,3,sun_protection,sun_protection_neu,3.0,2.0,1.2900000000000065,0,0
3,4,education_donation,education_donation_neu,4.0,1.0,1.1099999999999994,0,0
4,5,buckle_up,buckle_up_neu,5.0,2.0,5.420000000000002,0,1
5,6,diabetes,diabetes_emo,6.0,1.0,0.3299999999999983,0,1
6,7,tech_addiction,tech_addiction_emo,7.0,2.0,5.5,0,1
7,8,wash_hands,wash_hands_emo,8.0,1.0,1.2000000000000028,0,1
8,9,coffee,coffee_emo,9.0,4.0,4.070000000000007,0,1
9,10,furniture,furniture_neu,10.0,2.0,2.6200000000000045,0,1
10,11,vaccination,vaccination_neu,11.0,5.0,4.129999999999996,0,0
11,12,binge_drinking,binge_drinking_emo,12.0,2.0,1.9399999999999975,1,1
12,13,healthy_diet,healthy_diet_emo,13.0,3.0,3.400000000000034,0,0
13,14,burger,burger_emo,14.0,1.0,0.4899999999999807,0,0
14,15,hotel,hotel_emo,15.0,4.0,4.159999999999997,0,0
15,16,brunch,brunch_neu,16.0,2.0,3.069999999999993,1,1
16,17,smoking,smoking_neu,17.0,3.0,2.0900000000000034,1,1
17,18,text_driving,text_driving_neu,18.0,3.0,3.050000000000012,0,1
18,19,marijuana,marijuana_emo,19.0,4.0,4.190000000000026,1,1
19,20,vaping,vaping_emo,20.0,3.0,3.5499999999999545,1,1
