,position_index,billboard_image_at_position_text,billboard_image_at_position_text_emotion,fix_bill,billboard#_fixated_count,billboard#_duration,recall,recognition
0,1,diabetes,diabetes_neu,1,4,4.210000000000001,0,1
1,2,smoking,smoking_neu,2,5,3.299999999999997,1,1
2,3,coffee,coffee_neu,3,5,4.880000000000013,0,0
3,4,hotel,hotel_neu,4,2,4.57,0,1
4,5,drugged_driving,drugged_driving_emo,5,2,2.5800000000000125,0,1
5,6,education_donation,education_donation_neu,6,4,4.530000000000001,0,1
6,7,vaping,vaping_neu,7,3,7.090000000000003,0,1
7,8,healthy_diet,healthy_diet_emo,8,8,5.719999999999985,0,1
8,9,binge_drinking,binge_drinking_emo,9,4,4.599999999999994,1,1
9,10,sun_protection,sun_protection_neu,10,5,6.2400000000000375,0,1
10,11,brunch,brunch_emo,11,7,6.330000000000041,1,1
11,12,tech_addiction,tech_addiction_neu,12,1,5.560000000000002,0,1
12,13,vaccination,vaccination_emo,13,3,5.090000000000032,1,1
13,14,burger,burger_emo,14,3,2.009999999999991,1,1
14,15,HIV,HIV_neu,15,2,3.990000000000009,0,1
15,16,furniture,furniture_emo,16,3,3.700000000000017,1,1
16,17,marijuana,marijuana_emo,17,4,4.759999999999991,1,1
17,18,text_driving,text_driving_neu,18,2,3.569999999999993,0,1
18,19,buckle_up,buckle_up_emo,19,6,4.080000000000041,1,1
19,20,wash_hands,wash_hands_emo,20,2,0.6400000000000432,1,1
