,position_index,billboard_image_at_position_text,billboard_image_at_position_text_emotion,fix_bill,billboard#_fixated_count,billboard#_duration,recall,recognition
0,1,burger,burger_neu,1,2,1.6,0,1
1,2,text_driving,text_driving_emo,2,3,3.0299999999999976,0,1
2,3,vaping,vaping_neu,3,3,3.980000000000004,1,1
3,4,sun_protection,sun_protection_emo,4,2,2.9200000000000017,1,1
4,5,brunch,brunch_neu,5,4,5.3899999999999935,0,1
5,6,binge_drinking,binge_drinking_neu,6,3,2.75,1,1
6,7,wash_hands,wash_hands_neu,7,5,2.9200000000000017,1,1
7,8,tech_addiction,tech_addiction_emo,8,6,2.5999999999999943,0,1
8,9,education_donation,education_donation_emo,9,2,2.7900000000000063,0,1
9,10,coffee,coffee_emo,10,3,4.300000000000026,0,1
10,11,buckle_up,buckle_up_neu,11,6,2.759999999999991,1,1
11,12,furniture,furniture_neu,12,3,3.660000000000025,0,1
12,13,HIV,HIV_neu,13,2,3.280000000000001,0,1
13,14,drugged_driving,drugged_driving_emo,14,4,1.849999999999966,0,1
14,15,marijuana,marijuana_emo,15,4,2.099999999999966,1,1
15,16,vaccination,vaccination_emo,16,5,1.6800000000000068,1,1
16,17,healthy_diet,healthy_diet_emo,17,4,3.560000000000059,0,1
17,18,hotel,hotel_neu,18,1,3.730000000000018,1,1
18,19,smoking,smoking_neu,19,5,2.7200000000000277,1,1
19,20,diabetes,diabetes_emo,20,2,1.579999999999984,1,1
