,position_index,billboard_image_at_position_text,billboard_image_at_position_text_emotion,fix_bill,billboard#_fixated_count,billboard#_duration,recall,recognition
0,1,coffee,coffee_neu,1,3,3.7,0,1
1,2,buckle_up,buckle_up_neu,2,4,3.4899999999999967,1,1
2,3,sun_protection,sun_protection_neu,3,7,6.659999999999997,0,0
3,4,burger,burger_emo,4,3,2.140000000000001,0,0
4,5,diabetes,diabetes_neu,5,6,5.220000000000013,0,0
5,6,text_driving,text_driving_emo,6,1,2.0900000000000034,0,1
6,7,HIV,HIV_neu,7,6,5.6000000000000085,0,0
7,8,marijuana,marijuana_emo,8,3,3.8499999999999934,0,0
8,9,vaccination,vaccination_neu,9,6,3.8700000000000183,1,1
9,10,healthy_diet,healthy_diet_emo,10,6,4.670000000000002,1,1
10,11,vaping,vaping_neu,11,7,5.289999999999992,0,1
11,12,hotel,hotel_emo,12,4,3.539999999999964,0,0
12,13,drugged_driving,drugged_driving_neu,13,4,2.710000000000008,0,1
13,14,wash_hands,wash_hands_emo,14,2,0.6200000000000045,0,1
14,15,smoking,smoking_emo,15,4,3.639999999999958,0,0
15,16,tech_addiction,tech_addiction_neu,16,4,2.629999999999967,0,1
16,17,binge_drinking,binge_drinking_emo,17,4,4.609999999999985,0,1
17,18,furniture,furniture_neu,18,3,2.670000000000016,0,0
18,19,education_donation,education_donation_emo,19,3,3.830000000000013,1,1
19,20,brunch,brunch_emo,20,2,2.789999999999964,1,1
