,position_index,billboard_image_at_position_text,billboard_image_at_position_text_emotion,fix_bill,billboard#_fixated_count,billboard#_duration,recall,recognition
0,1,diabetes,diabetes_neu,1.0,1.0,0.3499999999999996,0,1
1,2,text_driving,text_driving_emo,0.0,0.0,0.0,0,1
2,3,vaccination,vaccination_neu,0.0,0.0,0.0,0,0
3,4,drugged_driving,drugged_driving_neu,0.0,0.0,0.0,0,0
4,5,smoking,smoking_neu,0.0,0.0,0.0,0,1
5,6,buckle_up,buckle_up_emo,0.0,0.0,0.0,0,0
6,7,coffee,coffee_neu,0.0,0.0,0.0,0,0
7,8,HIV,HIV_emo,0.0,0.0,0.0,0,0
8,9,burger,burger_neu,9.0,1.0,0.4399999999999977,0,0
9,10,furniture,furniture_neu,0.0,0.0,0.0,0,0
10,11,brunch,brunch_neu,0.0,0.0,0.0,0,0
11,12,sun_protection,sun_protection_neu,0.0,0.0,0.0,0,0
12,13,binge_drinking,binge_drinking_emo,0.0,0.0,0.0,0,1
13,14,marijuana,marijuana_emo,0.0,0.0,0.0,0,1
14,15,healthy_diet,healthy_diet_emo,0.0,0.0,0.0,0,1
15,16,wash_hands,wash_hands_emo,0.0,0.0,0.0,0,0
16,17,hotel,hotel_neu,0.0,0.0,0.0,0,0
17,18,education_donation,education_donation_emo,0.0,0.0,0.0,0,0
18,19,tech_addiction,tech_addiction_emo,0.0,0.0,0.0,0,0
19,20,vaping,vaping_emo,20.0,1.0,0.5799999999999841,0,1
