,position_index,billboard_image_at_position_text,billboard_image_at_position_text_emotion,fix_bill,billboard#_fixated_count,billboard#_duration,recall,recognition
0,1,smoking,smoking_emo,1.0,3.0,2.39,0,1
1,2,education_donation,education_donation_emo,2.0,1.0,0.2899999999999991,0,0
2,3,brunch,brunch_neu,3.0,2.0,0.7800000000000011,0,1
3,4,wash_hands,wash_hands_neu,4.0,1.0,1.8399999999999963,0,0
4,5,hotel,hotel_emo,5.0,1.0,1.6499999999999917,0,0
5,6,HIV,HIV_emo,0.0,0.0,0.0,0,1
6,7,healthy_diet,healthy_diet_emo,7.0,1.0,0.9499999999999886,0,0
7,8,tech_addiction,tech_addiction_emo,8.0,2.0,0.7099999999999795,0,1
8,9,vaping,vaping_neu,0.0,0.0,0.0,0,1
9,10,text_driving,text_driving_emo,10.0,2.0,0.8100000000000023,0,0
10,11,marijuana,marijuana_emo,11.0,2.0,1.460000000000008,0,1
11,12,vaccination,vaccination_emo,0.0,0.0,0.0,0,1
12,13,buckle_up,buckle_up_emo,13.0,4.0,4.239999999999981,1,1
13,14,sun_protection,sun_protection_neu,14.0,1.0,0.7199999999999989,0,0
14,15,diabetes,diabetes_neu,0.0,0.0,0.0,0,0
15,16,binge_drinking,binge_drinking_neu,16.0,1.0,0.3400000000000034,0,1
16,17,coffee,coffee_neu,17.0,2.0,1.1400000000000148,0,1
17,18,furniture,furniture_neu,0.0,0.0,0.0,0,1
18,19,drugged_driving,drugged_driving_neu,19.0,3.0,1.6999999999999886,1,1
19,20,burger,burger_neu,20.0,1.0,0.3499999999999659,1,1
