,position_index,billboard_image_at_position_text,billboard_image_at_position_text_emotion,fix_bill,count,recall,recognition
0,1,marijuana,marijuana_emo,1,5,1,1
1,2,tech_addiction,tech_addiction_emo,2,6,0,1
2,3,education_donation,education_donation_emo,3,6,0,1
3,4,drugged_driving,drugged_driving_emo,4,6,1,1
4,5,HIV,HIV_neu,5,5,0,1
5,6,hotel,hotel_emo,6,9,1,1
6,7,wash_hands,wash_hands_emo,7,3,0,1
7,8,healthy_diet,healthy_diet_emo,8,5,0,1
8,9,diabetes,diabetes_neu,9,5,0,1
9,10,burger,burger_neu,10,9,0,1
10,11,vaping,vaping_emo,11,4,1,1
11,12,furniture,furniture_emo,12,6,0,1
12,13,buckle_up,buckle_up_emo,13,4,0,1
13,14,text_driving,text_driving_neu,14,7,0,1
14,15,brunch,brunch_neu,15,4,0,1
15,16,smoking,smoking_neu,16,8,0,1
16,17,sun_protection,sun_protection_neu,17,6,0,1
17,18,binge_drinking,binge_drinking_neu,18,6,0,1
18,19,vaccination,vaccination_neu,19,5,0,1
19,20,coffee,coffee_neu,20,12,1,1
