,position_index,billboard_image_at_position_text,billboard_image_at_position_text_emotion,fix_bill,billboard#_fixated_count,billboard#_duration,recall,recognition
0,1,burger,burger_neu,1.0,1.0,0.8700000000000001,0,0
1,2,tech_addiction,tech_addiction_emo,2.0,1.0,2.52,0,1
2,3,text_driving,text_driving_neu,3.0,1.0,0.9499999999999956,0,1
3,4,education_donation,education_donation_emo,4.0,1.0,2.1300000000000026,0,0
4,5,vaping,vaping_emo,5.0,2.0,1.8599999999999997,1,1
5,6,drugged_driving,drugged_driving_emo,0.0,0.0,0.0,0,1
6,7,diabetes,diabetes_emo,0.0,0.0,0.0,0,0
7,8,marijuana,marijuana_neu,8.0,2.0,1.6800000000000068,1,1
8,9,wash_hands,wash_hands_neu,0.0,0.0,0.0,0,1
9,10,binge_drinking,binge_drinking_neu,0.0,0.0,0.0,1,1
10,11,vaccination,vaccination_emo,0.0,0.0,0.0,0,1
11,12,buckle_up,buckle_up_emo,0.0,0.0,0.0,0,1
12,13,smoking,smoking_neu,0.0,0.0,0.0,0,1
13,14,healthy_diet,healthy_diet_neu,14.0,2.0,1.260000000000019,0,0
14,15,coffee,coffee_emo,15.0,1.0,1.9300000000000068,0,1
15,16,HIV,HIV_neu,0.0,0.0,0.0,0,1
16,17,furniture,furniture_emo,17.0,1.0,1.7800000000000011,0,0
17,18,sun_protection,sun_protection_neu,18.0,1.0,0.8599999999999852,0,0
18,19,hotel,hotel_emo,19.0,2.0,1.200000000000017,0,1
19,20,brunch,brunch_neu,20.0,1.0,1.5200000000000389,1,1
