,position_index,billboard_image_at_position_text,billboard_image_at_position_text_emotion,fix_bill,billboard#_fixated_count,billboard#_duration,recall,recognition
0,1,vaping,vaping_neu,1,1,0.58,0,0
1,2,burger,burger_emo,2,2,3.149999999999995,0,1
2,3,drugged_driving,drugged_driving_emo,3,2,1.8100000000000092,1,1
3,4,HIV,HIV_neu,4,1,3.899999999999999,0,0
4,5,text_driving,text_driving_emo,5,2,3.9099999999999895,0,1
5,6,buckle_up,buckle_up_emo,6,2,3.530000000000001,0,1
6,7,tech_addiction,tech_addiction_emo,7,2,3.160000000000011,0,1
7,8,vaccination,vaccination_emo,8,3,1.970000000000013,1,0
8,9,coffee,coffee_neu,9,3,4.290000000000006,0,1
9,10,healthy_diet,healthy_diet_neu,10,4,3.730000000000018,0,1
10,11,hotel,hotel_emo,11,3,5.130000000000024,0,1
11,12,diabetes,diabetes_emo,12,3,3.1799999999999784,0,1
12,13,smoking,smoking_emo,13,4,3.750000000000029,0,1
13,14,marijuana,marijuana_neu,14,3,3.620000000000005,0,1
14,15,binge_drinking,binge_drinking_neu,15,3,3.670000000000016,0,1
15,16,brunch,brunch_neu,16,2,2.2700000000000102,1,1
16,17,education_donation,education_donation_neu,17,2,4.039999999999992,0,1
17,18,sun_protection,sun_protection_neu,18,5,4.920000000000044,0,1
18,19,wash_hands,wash_hands_neu,19,4,2.909999999999968,1,1
19,20,furniture,furniture_emo,20,1,1.089999999999975,0,0
