,position_index,billboard_image_at_position_text,billboard_image_at_position_text_emotion,fix_bill,count,recall
0,1,text_driving,text_driving_neu,1,4,1
1,2,burger,burger_emo,2,1,0
2,3,buckle_up,buckle_up_emo,3,2,1
3,4,hotel,hotel_neu,4,2,0
4,5,sun_protection,sun_protection_neu,5,2,0
5,6,vaccination,vaccination_neu,6,1,0
6,7,healthy_diet,healthy_diet_emo,7,1,0
7,8,vaping,vaping_neu,8,1,1
8,9,HIV,HIV_neu,9,1,0
9,10,coffee,coffee_emo,10,2,0
10,11,marijuana,marijuana_neu,11,2,1
11,12,brunch,brunch_neu,12,2,0
12,13,education_donation,education_donation_emo,13,2,0
13,14,smoking,smoking_emo,14,1,0
14,15,diabetes,diabetes_emo,15,2,0
15,16,wash_hands,wash_hands_neu,16,2,0
16,17,binge_drinking,binge_drinking_emo,17,3,1
17,18,tech_addiction,tech_addiction_neu,18,1,0
18,19,furniture,furniture_emo,19,3,0
19,20,drugged_driving,drugged_driving_emo,20,2,0
