,position_index,billboard_image_at_position_text,billboard_image_at_position_text_emotion,fix_bill,count,recall,recognition
0,1,smoking,smoking_emo,1.0,3.0,0,0
1,2,sun_protection,sun_protection_neu,2.0,4.0,0,0
2,3,vaping,vaping_emo,3.0,6.0,0,0
3,4,coffee,coffee_neu,4.0,3.0,0,1
4,5,wash_hands,wash_hands_neu,5.0,1.0,0,1
5,6,furniture,furniture_emo,6.0,1.0,0,0
6,7,hotel,hotel_neu,7.0,1.0,0,1
7,8,marijuana,marijuana_emo,8.0,1.0,1,1
8,9,healthy_diet,healthy_diet_emo,9.0,4.0,0,1
9,10,tech_addiction,tech_addiction_emo,10.0,3.0,0,1
10,11,education_donation,education_donation_emo,11.0,5.0,0,1
11,12,brunch,brunch_neu,12.0,1.0,1,1
12,13,buckle_up,buckle_up_neu,13.0,2.0,0,1
13,14,HIV,HIV_neu,14.0,3.0,0,1
14,15,diabetes,diabetes_neu,0.0,0.0,0,0
15,16,binge_drinking,binge_drinking_emo,16.0,2.0,0,1
16,17,vaccination,vaccination_emo,17.0,2.0,0,1
17,18,text_driving,text_driving_neu,18.0,4.0,1,1
18,19,drugged_driving,drugged_driving_emo,19.0,3.0,1,1
19,20,burger,burger_neu,20.0,1.0,1,1
