,position_index,billboard_image_at_position_text,billboard_image_at_position_text_emotion,fix_bill,count,recall
0,1,smoking,smoking_neu,1,2,0
1,2,sun_protection,sun_protection_emo,2,4,1
2,3,vaping,vaping_neu,3,5,1
3,4,coffee,coffee_emo,4,4,1
4,5,wash_hands,wash_hands_emo,5,2,1
5,6,furniture,furniture_neu,6,2,0
6,7,hotel,hotel_emo,7,2,0
7,8,marijuana,marijuana_neu,8,3,0
8,9,healthy_diet,healthy_diet_neu,9,2,0
9,10,tech_addiction,tech_addiction_neu,10,4,0
10,11,education_donation,education_donation_neu,11,4,0
11,12,brunch,brunch_emo,12,5,1
12,13,buckle_up,buckle_up_emo,13,4,1
13,14,HIV,HIV_emo,14,3,0
14,15,diabetes,diabetes_emo,15,2,0
15,16,binge_drinking,binge_drinking_neu,16,3,0
16,17,vaccination,vaccination_neu,17,1,0
17,18,text_driving,text_driving_emo,18,3,0
18,19,drugged_driving,drugged_driving_neu,19,3,0
19,20,burger,burger_emo,20,2,0
