,position_index,billboard_image_at_position_text,billboard_image_at_position_text_emotion,fix_bill,billboard#_fixated_count,billboard#_duration,recall,recognition
0,1,hotel,hotel_neu,0.0,0.0,0.0,0,0
1,2,tech_addiction,tech_addiction_emo,0.0,0.0,0.0,0,0
2,3,vaping,vaping_neu,3.0,5.0,5.140000000000004,0,1
3,4,sun_protection,sun_protection_emo,4.0,2.0,2.719999999999999,0,1
4,5,marijuana,marijuana_neu,5.0,3.0,4.619999999999997,0,1
5,6,HIV,HIV_emo,6.0,5.0,4.790000000000006,0,0
6,7,brunch,brunch_neu,7.0,2.0,2.219999999999999,0,1
7,8,coffee,coffee_neu,8.0,3.0,3.219999999999999,0,0
8,9,furniture,furniture_emo,9.0,3.0,2.039999999999992,0,1
9,10,burger,burger_emo,10.0,7.0,2.7200000000000277,0,1
10,11,education_donation,education_donation_emo,11.0,3.0,2.7200000000000277,1,1
11,12,drugged_driving,drugged_driving_emo,12.0,4.0,2.200000000000017,1,1
12,13,binge_drinking,binge_drinking_emo,13.0,4.0,2.039999999999992,0,0
13,14,vaccination,vaccination_emo,14.0,3.0,3.9299999999999775,0,0
14,15,buckle_up,buckle_up_neu,15.0,3.0,3.089999999999975,0,1
15,16,wash_hands,wash_hands_neu,16.0,1.0,0.2600000000000193,0,0
16,17,text_driving,text_driving_emo,17.0,5.0,3.359999999999985,0,1
17,18,diabetes,diabetes_neu,18.0,3.0,1.5199999999999818,0,1
18,19,smoking,smoking_neu,19.0,3.0,5.470000000000056,1,1
19,20,healthy_diet,healthy_diet_neu,20.0,3.0,1.3799999999999386,0,0
