,position_index,billboard_image_at_position_text,billboard_image_at_position_text_emotion,fix_bill,billboard#_fixated_count,billboard#_duration,recall,recognition
0,1,marijuana,marijuana_emo,0.0,0.0,0.0,0,0
1,2,buckle_up,buckle_up_emo,2.0,2.0,5.629999999999999,0,1
2,3,vaping,vaping_neu,3.0,5.0,5.150000000000002,1,1
3,4,education_donation,education_donation_neu,4.0,5.0,6.060000000000002,0,0
4,5,hotel,hotel_neu,5.0,5.0,5.599999999999987,0,1
5,6,smoking,smoking_emo,6.0,3.0,4.719999999999999,0,0
6,7,sun_protection,sun_protection_emo,7.0,4.0,5.5800000000000125,1,1
7,8,binge_drinking,binge_drinking_neu,8.0,4.0,2.3500000000000085,0,0
8,9,vaccination,vaccination_emo,9.0,3.0,5.650000000000006,0,0
9,10,coffee,coffee_neu,10.0,2.0,3.569999999999993,0,1
10,11,furniture,furniture_emo,11.0,5.0,7.3799999999999955,0,0
11,12,drugged_driving,drugged_driving_neu,12.0,6.0,3.91999999999993,1,1
12,13,text_driving,text_driving_neu,13.0,4.0,4.930000000000007,0,0
13,14,brunch,brunch_emo,14.0,5.0,4.960000000000008,1,1
14,15,healthy_diet,healthy_diet_emo,15.0,5.0,4.819999999999936,1,1
15,16,tech_addiction,tech_addiction_emo,16.0,2.0,3.0999999999999943,0,1
16,17,HIV,HIV_neu,17.0,2.0,2.6599999999999966,1,1
17,18,diabetes,diabetes_neu,18.0,1.0,0.3299999999999841,1,0
18,19,wash_hands,wash_hands_neu,19.0,1.0,0.3999999999999772,0,1
19,20,burger,burger_emo,20.0,6.0,3.6899999999999977,1,1
