,position_index,billboard_image_at_position_text,billboard_image_at_position_text_emotion,fix_bill,count,recall
0,1,diabetes,diabetes_emo,1.0,2.0,0.0
1,2,text_driving,text_driving_neu,2.0,5.0,0.0
2,3,vaccination,vaccination_emo,3.0,1.0,0.0
3,4,drugged_driving,drugged_driving_emo,0.0,0.0,1.0
4,5,smoking,smoking_emo,5.0,4.0,0.0
5,6,buckle_up,buckle_up_neu,0.0,0.0,0.0
6,7,coffee,coffee_emo,7.0,1.0,0.0
7,9,burger,burger_emo,9.0,2.0,0.0
8,10,furniture,furniture_emo,10.0,4.0,0.0
9,11,brunch,brunch_emo,11.0,1.0,0.0
10,12,sun_protection,sun_protection_emo,12.0,2.0,0.0
11,13,binge_drinking,binge_drinking_neu,13.0,2.0,0.0
12,14,marijuana,marijuana_neu,14.0,2.0,1.0
13,15,healthy_diet,healthy_diet_neu,0.0,0.0,1.0
14,16,wash_hands,wash_hands_neu,16.0,2.0,0.0
15,17,hotel,hotel_emo,17.0,4.0,0.0
16,18,education_donation,education_donation_neu,18.0,3.0,1.0
17,19,tech_addiction,tech_addiction_neu,19.0,1.0,0.0
18,20,vaping,vaping_neu,20.0,1.0,1.0
