,position_index,billboard_image_at_position_text,billboard_image_at_position_text_emotion,fix_bill,billboard#_fixated_count,billboard#_duration,recall,recognition
0,1,coffee,coffee_emo,1,2,1.83,0,0
1,2,buckle_up,buckle_up_emo,2,2,1.9600000000000009,0,1
2,3,sun_protection,sun_protection_emo,3,5,3.5700000000000145,0,1
3,4,burger,burger_neu,4,5,2.770000000000003,0,1
4,5,diabetes,diabetes_emo,5,1,2.710000000000008,1,1
5,6,text_driving,text_driving_neu,6,4,3.3299999999999983,0,1
6,7,HIV,HIV_emo,7,1,4.3300000000000125,0,1
7,8,marijuana,marijuana_neu,8,2,4.490000000000009,1,1
8,9,vaccination,vaccination_emo,9,5,4.8300000000000125,0,1
9,10,healthy_diet,healthy_diet_neu,10,2,4.870000000000033,0,1
10,11,vaping,vaping_emo,11,3,4.740000000000009,1,1
11,12,hotel,hotel_neu,12,1,2.7099999999999795,1,1
12,13,drugged_driving,drugged_driving_emo,13,4,2.240000000000037,1,1
13,14,wash_hands,wash_hands_neu,14,4,1.9199999999999875,0,1
14,15,smoking,smoking_neu,15,3,2.8799999999999955,1,1
15,16,tech_addiction,tech_addiction_emo,16,3,2.999999999999943,0,1
16,17,binge_drinking,binge_drinking_neu,17,5,2.9699999999999704,1,1
17,18,furniture,furniture_emo,18,1,4.509999999999991,1,1
18,19,education_donation,education_donation_neu,19,1,3.509999999999991,0,1
19,20,brunch,brunch_neu,20,3,4.710000000000036,0,1
