,subject,condition,position_index,billboard_image_at_position,billboard_emotionality,billboard#_fixated,billboard#_fixated_count,billboard#_duration,recall,recognition
0,sub005,count trash,1,vaping,low_emo,1,1.0,0.58,0,0
1,sub005,count trash,2,burger,high_emo,1,2.0,3.149999999999995,0,1
2,sub005,count trash,3,drugged_driving,high_emo,1,2.0,1.8100000000000087,1,1
3,sub005,count trash,4,HIV,low_emo,1,1.0,3.899999999999999,0,0
4,sub005,count trash,5,text_driving,high_emo,1,2.0,3.9099999999999895,0,1
5,sub005,count trash,6,buckle_up,high_emo,1,2.0,3.530000000000001,0,1
6,sub005,count trash,7,tech_addiction,high_emo,1,2.0,3.160000000000011,0,1
7,sub005,count trash,8,vaccination,high_emo,1,3.0,1.970000000000013,1,0
8,sub005,count trash,9,coffee,low_emo,1,3.0,4.290000000000006,0,1
9,sub005,count trash,10,healthy_diet,low_emo,1,4.0,3.730000000000018,0,1
10,sub005,count trash,11,hotel,high_emo,1,3.0,5.130000000000024,0,1
11,sub005,count trash,12,diabetes,high_emo,1,3.0,3.1799999999999784,0,1
12,sub005,count trash,13,smoking,high_emo,1,4.0,3.750000000000029,0,1
13,sub005,count trash,14,marijuana,low_emo,1,3.0,3.620000000000005,0,1
14,sub005,count trash,15,binge_drinking,low_emo,1,3.0,3.670000000000016,0,1
15,sub005,count trash,16,brunch,low_emo,1,2.0,2.2700000000000102,1,1
16,sub005,count trash,17,education_donation,low_emo,1,2.0,4.039999999999992,0,1
17,sub005,count trash,18,sun_protection,low_emo,1,5.0,4.920000000000044,0,1
18,sub005,count trash,19,wash_hands,low_emo,1,4.0,2.909999999999968,1,1
19,sub005,count trash,20,furniture,high_emo,1,1.0,1.089999999999975,0,0
0,sub006,count trash,1,vaping,high_emo,0,0.0,0.0,0,0
1,sub006,count trash,2,burger,low_emo,1,5.0,3.9999999999999982,0,1
2,sub006,count trash,3,drugged_driving,low_emo,1,3.0,1.460000000000008,1,1
3,sub006,count trash,4,HIV,high_emo,1,3.0,3.3299999999999983,0,0
4,sub006,count trash,5,text_driving,low_emo,1,2.0,2.479999999999997,0,1
5,sub006,count trash,6,buckle_up,low_emo,1,3.0,1.5300000000000151,0,1
6,sub006,count trash,7,tech_addiction,low_emo,1,3.0,2.9399999999999977,0,1
7,sub006,count trash,8,vaccination,low_emo,1,2.0,4.260000000000005,1,1
8,sub006,count trash,9,coffee,high_emo,1,3.0,2.8700000000000188,0,1
9,sub006,count trash,10,healthy_diet,high_emo,1,4.0,2.039999999999964,0,0
10,sub006,count trash,11,hotel,low_emo,1,4.0,1.420000000000016,0,0
11,sub006,count trash,12,diabetes,low_emo,1,1.0,1.6999999999999886,0,0
12,sub006,count trash,13,smoking,low_emo,1,3.0,2.849999999999966,0,1
13,sub006,count trash,14,marijuana,high_emo,1,3.0,2.8500000000000227,0,1
14,sub006,count trash,15,binge_drinking,high_emo,1,3.0,4.640000000000015,1,1
15,sub006,count trash,16,brunch,high_emo,1,3.0,2.410000000000025,0,1
16,sub006,count trash,17,education_donation,high_emo,1,5.0,3.719999999999999,0,0
17,sub006,count trash,18,sun_protection,high_emo,1,2.0,1.9199999999999875,0,0
