subject,condition,high_emo1_lowemo0,fix_binarized_high_emo,recall,recognition,fix_bin_rate,recall_rate,recognition_rate
sub001,count trash,1,0,0,0,0,0,0
sub002,count trash,1,10,2,8,1,0.2,0.8
sub003,count trash,1,3,0,0,0.3,0,0
sub004,count trash,1,9,2,8,0.9,0.2,0.8
sub005,count trash,1,10,2,8,1,0.2,0.8
sub006,count trash,1,9,1,5,0.9,0.1,0.5
sub007,count trash,1,10,3,7,1,0.3,0.7
sub008,count trash,1,6,2,4,0.6,0.2,0.4
sub009,count trash,1,9,1,6,0.9,0.1,0.6
sub010,count trash,1,1,0,5,0.1,0,0.5
sub011,count trash,1,8,2,1,0.8,0.2,0.1
sub012,count trash,1,10,4,10,1,0.4,1
sub013,free viewing,1,8,2,3,0.8,0.2,0.3
sub014,free viewing,1,9,2,6,0.9,0.2,0.6
sub015,free viewing,1,9,1,3,0.9,0.1,0.3
sub016,free viewing,1,10,8,10,1,0.8,1
sub017,free viewing,1,10,2,10,1,0.2,1
sub018,free viewing,1,10,4,10,1,0.4,1
sub019,free viewing,1,10,4,9,1,0.4,0.9
sub020,free viewing,1,10,3,6,1,0.3,0.6
sub021,free viewing,1,10,2,7,1,0.2,0.7
sub022,free viewing,1,10,5,8,1,0.5,0.8
sub023,free viewing,1,9,3,9,0.9,0.3,0.9
sub024,free viewing,1,9,3,10,0.9,0.3,1
sub025,free viewing,1,9,4,6,0.9,0.4,0.6
sub026,free viewing,1,10,3,7,1,0.3,0.7
sub027,free viewing,1,9,2,6,0.9,0.2,0.6
sub028,free viewing,1,9,4,6,0.9,0.4,0.6
sub029,free viewing,1,1,2,10,0.1,0.2,1
sub030,free viewing,1,8,1,6,0.8,0.1,0.6
sub031,free viewing,1,10,6,9,1,0.6,0.9
sub032,free viewing,1,10,4,10,1,0.4,1
sub033,count trash,1,3,1,8,0.3,0.1,0.8
sub034,count trash,1,3,1,1,0.3,0.1,0.1
sub035,count trash,1,4,1,3,0.4,0.1,0.3
sub036,count trash,1,7,3,9,0.7,0.3,0.9
sub037,count trash,1,2,1,4,0.2,0.1,0.4
sub038,count trash,1,2,0,2,0.2,0,0.2
sub039,count trash,1,3,2,2,0.3,0.2,0.2
sub040,count trash,1,6,1,7,0.6,0.1,0.7
sub001,count trash,0,3,0,0,0.3,0,0
sub002,count trash,0,10,3,4,1,0.3,0.4
sub003,count trash,0,4,2,3,0.4,0.2,0.3
sub004,count trash,0,9,4,8,0.9,0.4,0.8
sub005,count trash,0,10,2,8,1,0.2,0.8
sub006,count trash,0,10,2,7,1,0.2,0.7
sub007,count trash,0,9,2,5,0.9,0.2,0.5
sub008,count trash,0,2,0,2,0.2,0,0.2
sub009,count trash,0,7,4,7,0.7,0.4,0.7
sub010,count trash,0,2,0,2,0.2,0,0.2
sub011,count trash,0,7,0,4,0.7,0,0.4
sub012,count trash,0,10,6,10,1,0.6,1
sub013,free viewing,0,10,1,7,1,0.1,0.7
sub014,free viewing,0,9,1,6,0.9,0.1,0.6
sub015,free viewing,0,9,3,8,0.9,0.3,0.8
sub016,free viewing,0,10,1,9,1,0.1,0.9
sub017,free viewing,0,10,5,10,1,0.5,1
sub018,free viewing,0,9,3,5,0.9,0.3,0.5
sub019,free viewing,0,10,4,10,1,0.4,1
sub020,free viewing,0,10,2,6,1,0.2,0.6
sub021,free viewing,0,9,3,8,0.9,0.3,0.8
sub022,free viewing,0,10,1,6,1,0.1,0.6
sub023,free viewing,0,9,2,6,0.9,0.2,0.6
sub024,free viewing,0,9,2,7,0.9,0.2,0.7
sub025,free viewing,0,10,4,6,1,0.4,0.6
sub026,free viewing,0,9,4,7,0.9,0.4,0.7
sub027,free viewing,0,8,2,2,0.8,0.2,0.2
sub028,free viewing,0,10,2,7,1,0.2,0.7
sub029,free viewing,0,2,2,6,0.2,0.2,0.6
sub030,free viewing,0,7,2,7,0.7,0.2,0.7
sub031,free viewing,0,10,2,8,1,0.2,0.8
sub032,free viewing,0,10,1,10,1,0.1,1
sub033,count trash,0,6,4,5,0.6,0.4,0.5
sub034,count trash,0,4,0,0,0.4,0,0
sub035,count trash,0,5,2,2,0.5,0.2,0.2
sub036,count trash,0,7,1,3,0.7,0.1,0.3
sub037,count trash,0,1,1,2,0.1,0.1,0.2
sub038,count trash,0,1,1,2,0.1,0.1,0.2
sub039,count trash,0,0,0,0,0,0,0
sub040,count trash,0,6,3,7,0.6,0.3,0.7
